,reaction name,,total,fatal,name0,name1,level,vax_name,sheet
214,Cognitive disorder,,79.0,0.0,Nervous system disorders,Mental impairment (excl dementia and memory loss),3,pfizer,Table 24
215,Cognitive linguistic deficit,,1.0,0.0,Nervous system disorders,Mental impairment (excl dementia and memory loss),3,pfizer,Table 24
216,Disturbance in attention,,291.0,0.0,Nervous system disorders,Mental impairment (excl dementia and memory loss),3,pfizer,Table 24
217,Nervous system disoNrdeervrsous system disorders cont'd,,,,Nervous system disorders,,2,pfizer,Table 24
218,Mental impairment,,45.0,0.0,Nervous system disorders,Nervous system disoNrdeervrsous system disorders cont'd,3,pfizer,Table 24
219,Migraine headaches,,,,Nervous system disorders,,2,pfizer,Table 24
220,Hemiplegic migraine,,29.0,0.0,Nervous system disorders,Migraine headaches,3,pfizer,Table 24
221,Migraine,,2703.0,0.0,Nervous system disorders,Migraine headaches,3,pfizer,Table 24
222,Migraine with aura,,173.0,0.0,Nervous system disorders,Migraine headaches,3,pfizer,Table 24
223,Migraine without aura,,17.0,0.0,Nervous system disorders,Migraine headaches,3,pfizer,Table 24
224,Ophthalmic migraine,,5.0,0.0,Nervous system disorders,Migraine headaches,3,pfizer,Table 24
225,Retinal migraine,,31.0,0.0,Nervous system disorders,Migraine headaches,3,pfizer,Table 24
226,Typical aura without headache,,7.0,0.0,Nervous system disorders,Migraine headaches,3,pfizer,Table 24
227,Vestibular migraine,,18.0,0.0,Nervous system disorders,Migraine headaches,3,pfizer,Table 24
228,Mixed cranial nerve disorders,,,,Nervous system disorders,,2,pfizer,Table 24
229,Bulbar palsy,,2.0,0.0,Nervous system disorders,Mixed cranial nerve disorders,3,pfizer,Table 24
230,Mononeuropathies,,,,Nervous system disorders,,2,pfizer,Table 24
231,Carpal tunnel syndrome,,22.0,0.0,Nervous system disorders,Mononeuropathies,3,pfizer,Table 24
232,Cubital tunnel syndrome,,2.0,0.0,Nervous system disorders,Mononeuropathies,3,pfizer,Table 24
233,Meralgia paraesthetica,,1.0,0.0,Nervous system disorders,Mononeuropathies,3,pfizer,Table 24
234,Mononeuritis,,2.0,0.0,Nervous system disorders,Mononeuropathies,3,pfizer,Table 24
235,Mononeuropathy,,4.0,0.0,Nervous system disorders,Mononeuropathies,3,pfizer,Table 24
236,Nerve compression,,23.0,0.0,Nervous system disorders,Mononeuropathies,3,pfizer,Table 24
237,Peripheral nerve lesion,,1.0,0.0,Nervous system disorders,Mononeuropathies,3,pfizer,Table 24
238,Peroneal nerve palsy,,14.0,0.0,Nervous system disorders,Mononeuropathies,3,pfizer,Table 24
239,Sciatic nerve neuropathy,,2.0,0.0,Nervous system disorders,Mononeuropathies,3,pfizer,Table 24
240,Ulnar nerve palsy,,2.0,0.0,Nervous system disorders,Mononeuropathies,3,pfizer,Table 24
241,Ulnar neuritis,,1.0,0.0,Nervous system disorders,Mononeuropathies,3,pfizer,Table 24
242,Ulnar tunnel syndrome,,2.0,0.0,Nervous system disorders,Mononeuropathies,3,pfizer,Table 24
243,Motor neurone diseases,,,,Nervous system disorders,,2,pfizer,Table 24
244,Lower motor neurone lesion,,1.0,0.0,Nervous system disorders,Motor neurone diseases,3,pfizer,Table 24
245,Motor neurone disease,,1.0,0.0,Nervous system disorders,Motor neurone diseases,3,pfizer,Table 24
246,Multiple sclerosis acute and progressive,,,,Nervous system disorders,,2,pfizer,Table 24
247,Band sensation,,1.0,0.0,Nervous system disorders,Multiple sclerosis acute and progressive,3,pfizer,Table 24
248,Multiple sclerosis,,28.0,0.0,Nervous system disorders,Multiple sclerosis acute and progressive,3,pfizer,Table 24
249,Multiple sclerosis relapse,,20.0,0.0,Nervous system disorders,Multiple sclerosis acute and progressive,3,pfizer,Table 24
250,Tumefactive multiple sclerosis,,1.0,1.0,Nervous system disorders,Multiple sclerosis acute and progressive,3,pfizer,Table 24
251,Muscle tone abnormal,,,,Nervous system disorders,,2,pfizer,Table 24
252,Drop attacks,,1.0,0.0,Nervous system disorders,Muscle tone abnormal,3,pfizer,Table 24
253,Hypertonia,,2.0,0.0,Nervous system disorders,Muscle tone abnormal,3,pfizer,Table 24
254,Hypotonia,,26.0,0.0,Nervous system disorders,Muscle tone abnormal,3,pfizer,Table 24
255,Morvan syndrome,,1.0,0.0,Nervous system disorders,Muscle tone abnormal,3,pfizer,Table 24
256,Muscle tone disorder,,1.0,0.0,Nervous system disorders,Muscle tone abnormal,3,pfizer,Table 24
257,Serotonin syndrome,,1.0,0.0,Nervous system disorders,Muscle tone abnormal,3,pfizer,Table 24
258,Stiff leg syndrome,,1.0,0.0,Nervous system disorders,Muscle tone abnormal,3,pfizer,Table 24
259,Myelitis (incl infective),,,,Nervous system disorders,,2,pfizer,Table 24
260,Myelitis transverse,,25.0,0.0,Nervous system disorders,Myelitis (incl infective),3,pfizer,Table 24
261,Narcolepsy and hypersomnia,,,,Nervous system disorders,,2,pfizer,Table 24
262,Cataplexy,,3.0,0.0,Nervous system disorders,Narcolepsy and hypersomnia,3,pfizer,Table 24
263,Hypersomnia,,101.0,0.0,Nervous system disorders,Narcolepsy and hypersomnia,3,pfizer,Table 24
264,Narcolepsy,,7.0,0.0,Nervous system disorders,Narcolepsy and hypersomnia,3,pfizer,Table 24
265,Nervous system disorders NEC,,,,Nervous system disorders,,2,pfizer,Table 24
266,Central nervous system lesion,,2.0,0.0,Nervous system disorders,Nervous system disorders NEC,3,pfizer,Table 24
267,Cerebral disorder,,1.0,0.0,Nervous system disorders,Nervous system disorders NEC,3,pfizer,Table 24
268,Nervous system disorder,,14.0,0.0,Nervous system disorders,Nervous system disorders NEC,3,pfizer,Table 24
269,Neurotoxicity,,4.0,0.0,Nervous system disorders,Nervous system disorders NEC,3,pfizer,Table 24
270,Neurologic visual problems NEC,,,,Nervous system disorders,,2,pfizer,Table 24
271,Nervous system disoNrdeervrsous system disorders cont'd,,,,Nervous system disorders,,2,pfizer,Table 24
272,Hemianopia,,1.0,0.0,Nervous system disorders,Nervous system disoNrdeervrsous system disorders cont'd,3,pfizer,Table 24
273,Hemianopia homonymous,,2.0,0.0,Nervous system disorders,Nervous system disoNrdeervrsous system disorders cont'd,3,pfizer,Table 24
274,Quadrantanopia,,1.0,0.0,Nervous system disorders,Nervous system disoNrdeervrsous system disorders cont'd,3,pfizer,Table 24
275,Tunnel vision,,18.0,0.0,Nervous system disorders,Nervous system disoNrdeervrsous system disorders cont'd,3,pfizer,Table 24
276,Neurological signs and symptoms NEC,,,,Nervous system disorders,,2,pfizer,Table 24
277,Agitation neonatal,,1.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
278,Clonus,,4.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
279,Decerebrate posture,,1.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
280,Decorticate posture,,1.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
281,Dizziness,,8942.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
282,Dizziness exertional,,40.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
283,Dizziness postural,,668.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
284,Drooling,,22.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
285,Fontanelle bulging,,2.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
286,Head discomfort,,311.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
287,Hyporesponsive to stimuli,,2.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
288,Inability to crawl,,2.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
289,Infant irritability,,10.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
290,Myoclonus,,27.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
291,Neurological symptom,,42.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
292,Patient elopement,,1.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
293,Persistent postural-perceptual dizziness,,14.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
294,Presyncope,,576.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
295,Sensory overload,,4.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
296,Slow response to stimuli,,4.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
297,Tongue biting,,5.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
298,Unresponsive to stimuli,,42.0,0.0,Nervous system disorders,Neurological signs and symptoms NEC,3,pfizer,Table 24
299,Neuromuscular disorders NEC,,,,Nervous system disorders,,2,pfizer,Table 24
300,Muscle contractions involuntary,,22.0,0.0,Nervous system disorders,Neuromuscular disorders NEC,3,pfizer,Table 24
301,Muscle spasticity,,10.0,0.0,Nervous system disorders,Neuromuscular disorders NEC,3,pfizer,Table 24
302,Neuromuscular pain,,3.0,0.0,Nervous system disorders,Neuromuscular disorders NEC,3,pfizer,Table 24
303,Neuromuscular junction dysfunction,,,,Nervous system disorders,,2,pfizer,Table 24
304,Myasthenia gravis,,7.0,0.0,Nervous system disorders,Neuromuscular junction dysfunction,3,pfizer,Table 24
305,Myasthenia gravis crisis,,2.0,0.0,Nervous system disorders,Neuromuscular junction dysfunction,3,pfizer,Table 24
306,Olfactory nerve disorders,,,,Nervous system disorders,,2,pfizer,Table 24
307,Anosmia,,242.0,0.0,Nervous system disorders,Olfactory nerve disorders,3,pfizer,Table 24
308,Hyposmia,,16.0,0.0,Nervous system disorders,Olfactory nerve disorders,3,pfizer,Table 24
309,Parosmia,,230.0,0.0,Nervous system disorders,Olfactory nerve disorders,3,pfizer,Table 24
310,Optic nerve disorders NEC,,,,Nervous system disorders,,2,pfizer,Table 24
311,Optic neuritis,,26.0,0.0,Nervous system disorders,Optic nerve disorders NEC,3,pfizer,Table 24
312,Paraesthesias and dysaesthesias,,,,Nervous system disorders,,2,pfizer,Table 24
313,Burning feet syndrome,,7.0,0.0,Nervous system disorders,Paraesthesias and dysaesthesias,3,pfizer,Table 24
314,Burning sensation,,488.0,0.0,Nervous system disorders,Paraesthesias and dysaesthesias,3,pfizer,Table 24
315,Burning sensation mucosal,,2.0,0.0,Nervous system disorders,Paraesthesias and dysaesthesias,3,pfizer,Table 24
316,Dysaesthesia,,7.0,0.0,Nervous system disorders,Paraesthesias and dysaesthesias,3,pfizer,Table 24
317,Formication,,38.0,0.0,Nervous system disorders,Paraesthesias and dysaesthesias,3,pfizer,Table 24
318,Hand-arm vibration syndrome,,3.0,0.0,Nervous system disorders,Paraesthesias and dysaesthesias,3,pfizer,Table 24
319,Hemianaesthesia,,1.0,0.0,Nervous system disorders,Paraesthesias and dysaesthesias,3,pfizer,Table 24
320,Hemiparaesthesia,,3.0,0.0,Nervous system disorders,Paraesthesias and dysaesthesias,3,pfizer,Table 24
321,Hyperaesthesia,,83.0,0.0,Nervous system disorders,Paraesthesias and dysaesthesias,3,pfizer,Table 24
322,Hypoaesthesia,,2684.0,0.0,Nervous system disorders,Paraesthesias and dysaesthesias,3,pfizer,Table 24
323,Paraesthesia,,3678.0,0.0,Nervous system disorders,Paraesthesias and dysaesthesias,3,pfizer,Table 24
324,Reversed hot-cold sensation,,4.0,0.0,Nervous system disorders,Paraesthesias and dysaesthesias,3,pfizer,Table 24
325,Nervous system disoNrdeervrsous system disorders cont'd,,,,Nervous system disorders,,2,pfizer,Table 24
326,Synaesthesia,,1.0,0.0,Nervous system disorders,Nervous system disoNrdeervrsous system disorders cont'd,3,pfizer,Table 24
327,Paralysis and paresis (excl cranial nerve),,,,Nervous system disorders,,2,pfizer,Table 24
328,Diplegia,,12.0,0.0,Nervous system disorders,Paralysis and paresis (excl cranial nerve),3,pfizer,Table 24
329,Hemiparesis,,44.0,0.0,Nervous system disorders,Paralysis and paresis (excl cranial nerve),3,pfizer,Table 24
330,Hemiplegia,,37.0,0.0,Nervous system disorders,Paralysis and paresis (excl cranial nerve),3,pfizer,Table 24
331,Locked-in syndrome,,1.0,0.0,Nervous system disorders,Paralysis and paresis (excl cranial nerve),3,pfizer,Table 24
332,Monoparesis,,55.0,0.0,Nervous system disorders,Paralysis and paresis (excl cranial nerve),3,pfizer,Table 24
333,Monoplegia,,74.0,0.0,Nervous system disorders,Paralysis and paresis (excl cranial nerve),3,pfizer,Table 24
334,Paralysis,,120.0,0.0,Nervous system disorders,Paralysis and paresis (excl cranial nerve),3,pfizer,Table 24
335,Paraparesis,,3.0,0.0,Nervous system disorders,Paralysis and paresis (excl cranial nerve),3,pfizer,Table 24
336,Paraplegia,,1.0,0.0,Nervous system disorders,Paralysis and paresis (excl cranial nerve),3,pfizer,Table 24
337,Paresis,,6.0,0.0,Nervous system disorders,Paralysis and paresis (excl cranial nerve),3,pfizer,Table 24
338,Quadriparesis,,1.0,0.0,Nervous system disorders,Paralysis and paresis (excl cranial nerve),3,pfizer,Table 24
339,Quadriplegia,,1.0,0.0,Nervous system disorders,Paralysis and paresis (excl cranial nerve),3,pfizer,Table 24
340,Parkinson's disease and parkinsonism,,,,Nervous system disorders,,2,pfizer,Table 24
341,Freezing phenomenon,,8.0,0.0,Nervous system disorders,Parkinson's disease and parkinsonism,3,pfizer,Table 24
342,Hypokinetic dysarthria,,1.0,0.0,Nervous system disorders,Parkinson's disease and parkinsonism,3,pfizer,Table 24
343,Parkinson's disease,,3.0,0.0,Nervous system disorders,Parkinson's disease and parkinsonism,3,pfizer,Table 24
344,Parkinsonian gait,,1.0,0.0,Nervous system disorders,Parkinson's disease and parkinsonism,3,pfizer,Table 24
345,Parkinsonian rest tremor,,1.0,0.0,Nervous system disorders,Parkinson's disease and parkinsonism,3,pfizer,Table 24
346,Parkinsonism,,4.0,0.0,Nervous system disorders,Parkinson's disease and parkinsonism,3,pfizer,Table 24
347,Reduced facial expression,,11.0,0.0,Nervous system disorders,Parkinson's disease and parkinsonism,3,pfizer,Table 24
348,Partial complex seizures,,,,Nervous system disorders,,2,pfizer,Table 24
349,Dreamy state,,6.0,0.0,Nervous system disorders,Partial complex seizures,3,pfizer,Table 24
350,Focal dyscognitive seizures,,3.0,0.0,Nervous system disorders,Partial complex seizures,3,pfizer,Table 24
351,Temporal lobe epilepsy,,2.0,0.0,Nervous system disorders,Partial complex seizures,3,pfizer,Table 24
352,Partial simple seizures NEC,,,,Nervous system disorders,,2,pfizer,Table 24
353,Autonomic seizure,,1.0,0.0,Nervous system disorders,Partial simple seizures NEC,3,pfizer,Table 24
354,Peripheral neuropathies NEC,,,,Nervous system disorders,,2,pfizer,Table 24
355,Axonal neuropathy,,2.0,0.0,Nervous system disorders,Peripheral neuropathies NEC,3,pfizer,Table 24
356,Neuralgic amyotrophy,,5.0,0.0,Nervous system disorders,Peripheral neuropathies NEC,3,pfizer,Table 24
357,Neuritis,,7.0,0.0,Nervous system disorders,Peripheral neuropathies NEC,3,pfizer,Table 24
358,Neuropathy peripheral,,102.0,0.0,Nervous system disorders,Peripheral neuropathies NEC,3,pfizer,Table 24
359,Peripheral sensorimotor neuropathy,,1.0,0.0,Nervous system disorders,Peripheral neuropathies NEC,3,pfizer,Table 24
360,Peripheral sensory neuropathy,,12.0,0.0,Nervous system disorders,Peripheral neuropathies NEC,3,pfizer,Table 24
361,Polyneuropathy,,3.0,0.0,Nervous system disorders,Peripheral neuropathies NEC,3,pfizer,Table 24
362,Thoracic outlet syndrome,,1.0,0.0,Nervous system disorders,Peripheral neuropathies NEC,3,pfizer,Table 24
363,Seizures and seizure disorders NEC,,,,Nervous system disorders,,2,pfizer,Table 24
364,Atonic seizures,,4.0,0.0,Nervous system disorders,Seizures and seizure disorders NEC,3,pfizer,Table 24
365,Change in seizure presentation,,2.0,0.0,Nervous system disorders,Seizures and seizure disorders NEC,3,pfizer,Table 24
366,Clonic convulsion,,3.0,0.0,Nervous system disorders,Seizures and seizure disorders NEC,3,pfizer,Table 24
367,Convulsions local,,1.0,0.0,Nervous system disorders,Seizures and seizure disorders NEC,3,pfizer,Table 24
368,Epilepsy,,151.0,0.0,Nervous system disorders,Seizures and seizure disorders NEC,3,pfizer,Table 24
369,Epileptic aura,,2.0,0.0,Nervous system disorders,Seizures and seizure disorders NEC,3,pfizer,Table 24
370,Epileptic encephalopathy,,1.0,0.0,Nervous system disorders,Seizures and seizure disorders NEC,3,pfizer,Table 24
371,Febrile convulsion,,15.0,0.0,Nervous system disorders,Seizures and seizure disorders NEC,3,pfizer,Table 24
372,Idiopathic generalised epilepsy,,1.0,0.0,Nervous system disorders,Seizures and seizure disorders NEC,3,pfizer,Table 24
373,Partial seizures,,18.0,0.0,Nervous system disorders,Seizures and seizure disorders NEC,3,pfizer,Table 24
374,Post stroke seizure,,1.0,0.0,Nervous system disorders,Seizures and seizure disorders NEC,3,pfizer,Table 24
375,Psychogenic seizure,,8.0,0.0,Nervous system disorders,Seizures and seizure disorders NEC,3,pfizer,Table 24
376,Seizure,,555.0,1.0,Nervous system disorders,Seizures and seizure disorders NEC,3,pfizer,Table 24
377,Seizure anoxic,,2.0,0.0,Nervous system disorders,Seizures and seizure disorders NEC,3,pfizer,Table 24
378,Seizure cluster,,6.0,0.0,Nervous system disorders,Seizures and seizure disorders NEC,3,pfizer,Table 24
379,Nervous system disoNrdeervrsous system disorders cont'd,,,,Nervous system disorders,,2,pfizer,Table 24
380,Seizure like phenomena,,2.0,0.0,Nervous system disorders,Nervous system disoNrdeervrsous system disorders cont'd,3,pfizer,Table 24
381,Status epilepticus,,41.0,0.0,Nervous system disorders,Nervous system disoNrdeervrsous system disorders cont'd,3,pfizer,Table 24
382,Tonic clonic movements,,3.0,0.0,Nervous system disorders,Nervous system disoNrdeervrsous system disorders cont'd,3,pfizer,Table 24
383,Tonic convulsion,,25.0,0.0,Nervous system disorders,Nervous system disoNrdeervrsous system disorders cont'd,3,pfizer,Table 24
384,Tonic posturing,,1.0,0.0,Nervous system disorders,Nervous system disoNrdeervrsous system disorders cont'd,3,pfizer,Table 24
385,Sensory abnormalities NEC,,,,Nervous system disorders,,2,pfizer,Table 24
386,Ageusia,,480.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
387,Allodynia,,24.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
388,Aura,,20.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
389,Complex regional pain syndrome,,5.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
390,Dysgeusia,,1077.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
391,Electric shock sensation,,35.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
392,Hypergeusia,,1.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
393,Hypogeusia,,7.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
394,Intercostal neuralgia,,1.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
395,Loss of proprioception,,3.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
396,Morton's neuralgia,,1.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
397,Neuralgia,,488.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
398,Persistent genital arousal disorder,,1.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
399,Phantom limb syndrome,,4.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
400,Post herpetic neuralgia,,14.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
401,Restless arm syndrome,,2.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
402,Restless legs syndrome,,132.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
403,Sensory disturbance,,99.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
404,Sensory loss,,68.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
405,Taste disorder,,240.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
406,Visual perseveration,,3.0,0.0,Nervous system disorders,Sensory abnormalities NEC,3,pfizer,Table 24
407,Sleep disturbances NEC,,,,Nervous system disorders,,2,pfizer,Table 24
408,Sleep deficit,,9.0,0.0,Nervous system disorders,Sleep disturbances NEC,3,pfizer,Table 24
409,Sudden onset of sleep,,1.0,0.0,Nervous system disorders,Sleep disturbances NEC,3,pfizer,Table 24
410,Speech and language abnormalities,,,,Nervous system disorders,,2,pfizer,Table 24
411,Dysarthria,,176.0,0.0,Nervous system disorders,Speech and language abnormalities,3,pfizer,Table 24
412,Incoherent,,9.0,0.0,Nervous system disorders,Speech and language abnormalities,3,pfizer,Table 24
413,Language disorder,,2.0,0.0,Nervous system disorders,Speech and language abnormalities,3,pfizer,Table 24
414,Repetitive speech,,3.0,0.0,Nervous system disorders,Speech and language abnormalities,3,pfizer,Table 24
415,Slow speech,,18.0,0.0,Nervous system disorders,Speech and language abnormalities,3,pfizer,Table 24
416,Speech disorder,,65.0,0.0,Nervous system disorders,Speech and language abnormalities,3,pfizer,Table 24
417,Spinal cord and nerve root disorders NEC,,,,Nervous system disorders,,2,pfizer,Table 24
418,Cauda equina syndrome,,1.0,0.0,Nervous system disorders,Spinal cord and nerve root disorders NEC,3,pfizer,Table 24
419,Myelopathy,,1.0,0.0,Nervous system disorders,Spinal cord and nerve root disorders NEC,3,pfizer,Table 24
420,Radiculitis brachial,,12.0,0.0,Nervous system disorders,Spinal cord and nerve root disorders NEC,3,pfizer,Table 24
421,Radiculopathy,,5.0,0.0,Nervous system disorders,Spinal cord and nerve root disorders NEC,3,pfizer,Table 24
422,Structural brain disorders NEC,,,,Nervous system disorders,,2,pfizer,Table 24
423,Brain injury,,7.0,2.0,Nervous system disorders,Structural brain disorders NEC,3,pfizer,Table 24
424,Cerebral ventricle dilatation,,1.0,0.0,Nervous system disorders,Structural brain disorders NEC,3,pfizer,Table 24
425,Hyperintensity in brain deep nuclei,,1.0,0.0,Nervous system disorders,Structural brain disorders NEC,3,pfizer,Table 24
426,Transient cerebrovascular events,,,,Nervous system disorders,,2,pfizer,Table 24
427,Transient ischaemic attack,,139.0,3.0,Nervous system disorders,Transient cerebrovascular events,3,pfizer,Table 24
428,Tremor (excl congenital),,,,Nervous system disorders,,2,pfizer,Table 24
429,Essential tremor,,4.0,0.0,Nervous system disorders,Tremor (excl congenital),3,pfizer,Table 24
430,Head titubation,,13.0,0.0,Nervous system disorders,Tremor (excl congenital),3,pfizer,Table 24
431,Resting tremor,,4.0,0.0,Nervous system disorders,Tremor (excl congenital),3,pfizer,Table 24
432,Tremor,,1547.0,0.0,Nervous system disorders,Tremor (excl congenital),3,pfizer,Table 24
433,Nervous system disoNrdeervrsous system disorders cont'd,,,,Nervous system disorders,,2,pfizer,Table 24
434,Trigeminal disorders,,,,Nervous system disorders,,2,pfizer,Table 24
435,Facial neuralgia,,17.0,0.0,Nervous system disorders,Trigeminal disorders,3,pfizer,Table 24
436,Numb chin syndrome,,2.0,0.0,Nervous system disorders,Trigeminal disorders,3,pfizer,Table 24
437,Trigeminal nerve disorder,,3.0,0.0,Nervous system disorders,Trigeminal disorders,3,pfizer,Table 24
438,Trigeminal neuralgia,,41.0,0.0,Nervous system disorders,Trigeminal disorders,3,pfizer,Table 24
439,Trigeminal neuritis,,1.0,0.0,Nervous system disorders,Trigeminal disorders,3,pfizer,Table 24
440,Vagus nerve disorders,,,,Nervous system disorders,,2,pfizer,Table 24
441,Vocal cord paralysis,,1.0,0.0,Nervous system disorders,Vagus nerve disorders,3,pfizer,Table 24
442,Vertigos NEC,,,,Nervous system disorders,,2,pfizer,Table 24
443,Cervicogenic vertigo,,1.0,0.0,Nervous system disorders,Vertigos NEC,3,pfizer,Table 24
444,Vertigo CNS origin,,3.0,0.0,Nervous system disorders,Vertigos NEC,3,pfizer,Table 24
445,Nervous system disorders SOC TOTAL,,61595.0,60.0,Nervous system disorders,Vertigos NEC,4,pfizer,Table 24
1,Pregnancy conditions,,,,Pregnancy conditions,,1,pfizer,Table 24
2,Abortion related conditions and complications,,,,Pregnancy conditions,,2,pfizer,Table 24
3,Anembryonic gestation,,2.0,0.0,Pregnancy conditions,Abortion related conditions and complications,3,pfizer,Table 24
4,Abortions not specified as induced or spontaneous,,,,Pregnancy conditions,,2,pfizer,Table 24
5,Abortion,,1.0,0.0,Pregnancy conditions,Abortions not specified as induced or spontaneous,3,pfizer,Table 24
6,Abortion missed,,5.0,0.0,Pregnancy conditions,Abortions not specified as induced or spontaneous,3,pfizer,Table 24
7,Abortions spontaneous,,,,Pregnancy conditions,,2,pfizer,Table 24
8,Abortion spontaneous,,364.0,0.0,Pregnancy conditions,Abortions spontaneous,3,pfizer,Table 24
9,Abortion threatened,,2.0,0.0,Pregnancy conditions,Abortions spontaneous,3,pfizer,Table 24
10,Amniotic fluid and cavity disorders of pregnancy NEC,,,,Pregnancy conditions,,2,pfizer,Table 24
11,Amniorrhoea,,1.0,0.0,Pregnancy conditions,Amniotic fluid and cavity disorders of pregnancy NEC,3,pfizer,Table 24
12,Foetal complications NEC,,,,Pregnancy conditions,,2,pfizer,Table 24
13,Foetal cardiac disorder,,1.0,0.0,Pregnancy conditions,Foetal complications NEC,3,pfizer,Table 24
14,Foetal distress syndrome,,1.0,0.0,Pregnancy conditions,Foetal complications NEC,3,pfizer,Table 24
15,Foetal hypokinesia,,10.0,0.0,Pregnancy conditions,Foetal complications NEC,3,pfizer,Table 24
16,Foetal growth complications,,,,Pregnancy conditions,,2,pfizer,Table 24
17,Foetal growth restriction,,6.0,0.0,Pregnancy conditions,Foetal growth complications,3,pfizer,Table 24
18,Gestational age and weight conditions,,,,Pregnancy conditions,,2,pfizer,Table 24
19,Premature baby,,4.0,1.0,Pregnancy conditions,Gestational age and weight conditions,3,pfizer,Table 24
20,Haemorrhagic complications of pregnancy,,,,Pregnancy conditions,,2,pfizer,Table 24
21,Haemorrhage in pregnancy,,2.0,0.0,Pregnancy conditions,Haemorrhagic complications of pregnancy,3,pfizer,Table 24
22,Premature separation of placenta,,3.0,0.0,Pregnancy conditions,Haemorrhagic complications of pregnancy,3,pfizer,Table 24
23,Subchorionic haematoma,,2.0,0.0,Pregnancy conditions,Haemorrhagic complications of pregnancy,3,pfizer,Table 24
24,Subchorionic haemorrhage,,1.0,0.0,Pregnancy conditions,Haemorrhagic complications of pregnancy,3,pfizer,Table 24
25,Hypertension associated disorders of pregnancy,,,,Pregnancy conditions,,2,pfizer,Table 24
26,Pre-eclampsia,,1.0,0.0,Pregnancy conditions,Hypertension associated disorders of pregnancy,3,pfizer,Table 24
27,Labour onset and length abnormalities,,,,Pregnancy conditions,,2,pfizer,Table 24
28,Induced labour,,1.0,0.0,Pregnancy conditions,Labour onset and length abnormalities,3,pfizer,Table 24
29,Premature delivery,,1.0,0.0,Pregnancy conditions,Labour onset and length abnormalities,3,pfizer,Table 24
30,Premature labour,,5.0,0.0,Pregnancy conditions,Labour onset and length abnormalities,3,pfizer,Table 24
31,Premature rupture of membranes,,2.0,0.0,Pregnancy conditions,Labour onset and length abnormalities,3,pfizer,Table 24
32,Threatened labour,,1.0,0.0,Pregnancy conditions,Labour onset and length abnormalities,3,pfizer,Table 24
